title,company,city,contract_type,salary,description
Consultant junior Data Scientist,Argon & Co,92300 Levallois-Perret,"Temps plein, CDI",-,"Argon & CoArgon & Co est un cabinet de conseil en management international spécialisé dans la stratégie et la transformation des opérations. Fort d’une expertise reconnue dans les domaines de la Supply Chain, des achats, de la finance et des fonctions support, nous accompagnons nos clients dans leurs transformations pour atteindre des résultats tangibles et pérennes.Avec plus de 270 consultants dans le monde à travers nos sept bureaux (Paris, Londres, Abu Dhabi, Atlanta, Singapour, Melbourne et Mumbai), nous avons la possibilité d’accompagner nos clients au niveau local tout en bénéficiant de notre connaissance des meilleures pratiques à l’échelle internationale.Nous sommes reconnus par Gartner et, le magazine Capital et le Financial Times comme un cabinet de conseil leader dans le domaine des opérations.IRIS by Argon & CoIRIS est une équipe de 30 spécialistes de la Data, AI, IoT, combinant expertise technologique et connaissance des métiers des opérations. Nous délivrons des solutions innovantes sur tous les domaines des opérations, depuis l’idéation jusqu’à l’industrialisation des cas d’usages et la transformation des processus associés.Votre MissionEn tant que Data Scientist au sein d’IRIS, vous serez amené à intervenir sur une variété de projets Data auprès de clients issus de tous les secteurs d’activité :· Participer au cadrage des collectes de données, réaliser le traitement de ces données· Développer des modèles Machine Learning / Deep Learning pour répondre aux problématiques des clients· Réaliser les analyses et restituer les résultats auprès d’interlocuteurs métiers, en mettant en pratique les techniques de visualisation de la donnée· Communiquer sur l’avancement du projet et mettre en valeur la valeur ajoutée des solutions développées pour le client· Mettre en production des algorithmes (ex. Docker) et les intégrer dans le stack technologique du client (AWS, Azure, Google Cloud…)En complément, vous aurez l’occasion de participer au développement entrepreneurial d’IRIS :· Participer aux activités R&D de l'équipe : développer des outils utilisés en interne, tester des nouvelles techniques de ML/DL pour de nouveaux cas d’usage : prévision, optimisation…· Contribuer à la capitalisation et au partage de connaissance au sein de l’équipe IRIS· Maintenir une veille technologique et apporter des nouvelles idées à l'équipeExemples de projets types : prévision des ventes, optimisation de l’assortiment produits, prédiction de qualité de production, optimisation des cadences de production…La vie au sein du cabinetA votre arrivée, un parrain vous est attribué, vous accompagnant tout au long de votre progression au sein d’IRIS by Argon & Co. Les formations dispensées dans le cabinet vous permettront de développer votre connaissance des métiers des Opération, vos compétences de gestion de projet et de conseil et vos connaissances Data / ML.Enfin, vous pourrez participer à de nombreux projets internes rythmant la vie du cabinet : évènements festifs, contribution à la communication digitale, engagements RSE, humanitaire, boîtes à outils du consultant, etc.Profil recherchéVous êtes issus d’une formation Grande Ecole d’ingénieur, avec une spécialisation en Data Science ou Intelligence Artificielle :- Vous disposer d’au moins 6 mois d’expérience (stages inclus) en charge du développement de modèles ML / DL – Non-requis pour le poste de Stagiaire- Vous maîtrisez le langage Python et l’usage du version control (Git)- Vous avez une bonne connaissance des algorithmes Machine Learning / Deep Learning et de solides compétences en Statistiques- Vous avez une approche réaliste et pragmatique des problématiques de Data Science- Vous faites preuve d’autonomie, de clarté, d’initiative et d’organisationLes plus :- Vous avez des compétences en techniques et outils de Data Visualisation (Power BI, Tableau, Qlik…)- Vous avez une bonne connaissance d’un écosystème Cloud (Azure, GCP, AWS)- Vous avez une expérience de mise en production d’algorithmes ou outils ad-hoc (Docker, Dataiku, Anaplan…)Vous êtes intéressé ? N’hésitez pas à nous contacter !Statut : CadreType d'emploi : Temps plein, CDISalaire : à partir de 1,00€ par moisHoraires :Du Lundi au VendrediTélétravail:Temporairement en raison du COVID-19"
Data Scientist Marketing Junior,Accenture,Paris (75),-,-,"Vos connaissances disent souvent que vous êtes au fait des dernières innovations ? Votre entourage est étonné par votre capacité à apprendre toujours plus ? Vous portez une attention particulière à votre bien-être notamment dans votre environnement de travail et vous souhaitez vous engager pour impacter la société ? Vous pensez que travailler dans un environnement agile, flexible et accessible permet à toutes et à tous d’innover ensemble ?
Rejoignez Accenture et participez à changer le monde.
En cette période particulière, nous avons adapté notre processus de recrutement pour que celui-ci se fasse en visio-conférence.
En tant que Data Scientist Marketing Junior, quelles seront vos missions ?
La recommandation d’architecture Data
La création de segmentation client à des fins marketing
La production de score d’appétence produits/offres, de modèle de recommandation
Le développement de modèles d’attribution ou marketing mix modeling
La création de Dashboard de performance de campagnes media et CRM
Le traitement et la consolidation de données clients et digitales provenant de sources diverses (CRM, Web Analytics, DMP…)
Le développement de modèles algorithmiques / machine learning utiles à la prédiction de comportement et la personnalisation de l’expérience client
Votre rôle intégrera également une dimension d’accompagnement business importante : vulgarisation des problématiques, autonomie sur la gestion de projet (planning, présentation de résultats, remontée des alertes), participation à des réponses aux appels d’offres.

Le métier de Data Scientist Marketing Junior est fait pour vous si :
Vous êtes diplômé(e) d'une grande école de commerce ou d'ingénieur avec une composante quantitative :
Vous maitrisez les principales familles d’algorithme et les outils de Data Science
Langage de programmation adapté (R, Python)
Maîtrise de SQL
Environnement cloud (GCP, Azure, AWS) et système d’exploitation Linux
Bonne maîtrise des algorithmes de classification/régression
Capacité de déploiement des calculs sur les environnements distribués (Spark)
Vous avez une bonne connaissance des solutions type DMP ou Web Analytics
Une expérience sur des solutions de data visualisation est un plus
Vous êtes curieux.euse, enthousiaste, pragmatique et rigoureux(euse)
Vous êtes flexible et à l’aise au sein d’une équipe pluri disciplinaire
Vous avez déjà travaillé dans un environnement international et justifiez d'un très bon niveau d'anglais (écrit et oral)
Accenture, c'est une communauté de plus de 500 000 talents et une mission commune réaliser la promesse technologique, alliée à l’ingéniosité humaine.
Dans un monde en perpétuel changement, nous accélérons la transformation des plus grandes entreprises de la stratégie jusqu’à la mise en œuvre grâce aux technologies de demain et dynamisons leur croissance grâce à l'expertise multi-sectorielle de nos expert.e.s !
Plongez au cœur de l’innovation en rejoignant notre équipe, une équipe qui aspire à créer de la valeur pour ses clients et à faire toujours mieux pour ses talents.
Envie d’en savoir plus sur le quotidien des collaborateurs Accenture ?
Posez-leur directement vos questions."
Data Scientist (all seniority levels) - QuantumBlack,McKinsey & Company,75008 Paris,-,-,"Qualifications
Master’s degree in quantitative field like Computer Science, Engineering, Statistics, Mathematics or related field required; advanced degree advantageous
Deep technical experience in predictive analytics, machine learning, optimization, etc.
Good knowledge of statistical approaches including advanced machine learning techniques (e.g. data science, support vector machines, neural nets, deep learning, machine learning) and/or optimization
Fluent in a number of the following technologies: R, Python, Julia, SQL, GMPL or related
Strong presentation and communication skills, with a knack for explaining complex analytical concepts to people from other fields
Team leadership, mentoring or project management skills
French and English fluency
Willingness to travel up to 80%
Who You'll Work With
Based in Paris and working across the region, as a consultant data scientist you will work closely with our clients, data engineers and all types of McKinsey consultants on interdisciplinary projects, using Maths, Stats and Machine Learning to derive structure and knowledge from raw data across various industry sectors.
This hybrid client-facing/technical role will allow you to use state of the art technologies to solve highly impactful business problems, whilst also leveraging your strong communication skills to convey complex intractable ideas to non-technical audiences.
Who you are
This position is for a data scientist with strong intrinsic technical ability and an aptitude to solving complex problems using technology.
A core value at QuantumBlack is fusion and at the heart of our multi-disciplinary teams is the belief that the sum of individual parts will always be less than the impact of the entire team. You are a highly collaborative individual who is capable of laying aside your own agenda, listening to and learning from colleagues, challenging thoughtfully and prioritising impact. You search for ways to improve things and work collaboratively with colleagues. You believe in iterative change, experimenting with new approaches, learning and improving to move forward quickly. Trust between colleagues is paramount here – you are an individual who can always be trusted to work in the best interests of all colleagues and to achieve the best outcome for QuantumBlack and our clients. You are naturally enthusiastic and enjoy sharing your passion with others.
What You'll Do
As a Data Scientist with the Paris office...
You will work in multi-disciplinary environments harnessing data to provide real-world impact for organisations globally.
You will influence many of the recommendations our clients need to positively change their businesses and enhance performance.
Role responsibilities
Work on complex and extremely varied data sets from some of the world’s largest organisations to solve real world problems
Develop data science products and solutions for clients as well as for our data science team
Write highly optimized code to advance our internal Data Science Toolbox
Work in a multi-disciplinary environment with specialists in machine learning, engineering and design
Add real-world impact to your academic expertise, as you are encouraged to write ‘black’ papers and present at meetings and conferences should you wish
Attend conferences such as NIPS and ICML as one global team as well as Data Science retrospectives where you will have the opportunity to share and learn from your co-workers.
Work within one of the largest and most advanced data science teams in Europe, support the Lead Data Scientists to develop data science products
What you’ll learn
How successful projections on real world problems across a variety of industries are completed through referencing past deliveries of end to end machine learning pipelines
Build products alongside the core engineering team and evolve the engineering process to scale with data, handling complex problems and advanced client situations
Be able to focus on modelling by working alongside the Data Engineering team which focuses on the wrangling, clean-up and transformation of data.
Best practices in software development and productionise machine learning by working with our Machine Learning Engineering teams which optimise code for model development and scale it
Work with our UX and Visual Design teams to interpret your complex models into stunning and user-focused visualisations
Using new technologies and problem-solving skills in a multicultural and creative environment
You will work on the frameworks and libraries that our teams of Data Scientists and Data Engineers use to progress from data to impact. You will guide global companies through data science solutions to transform their businesses and enhance performance across industries including healthcare, automotive, energy and elite sport.
Real-World Impact – No project is ever the same; we work across multiple sectors, providing unique learning and development opportunities internationally.
Fusing Tech & Leadership – We work with the latest technologies and methodologies and offer first class learning programmes at all levels.
Multidisciplinary Teamwork - Our teams include data scientists, engineers, project managers, UX and visual designers who work collaboratively to enhance performance.
Innovative Work Culture – Creativity, insight and passion come from being balanced. We cultivate a modern work environment through an emphasis on wellness, insightful talks and training sessions.
Striving for Diversity – With colleagues from over 40 nationalities, we recognise the benefits of working with people from all walks of life.
Our projects range from helping pharmaceutical companies bring lifesaving drugs to market quicker to optimising a Formula1 car’s performance. At QuantumBlack you have the best of both worlds; all the benefits of being part of one of the leading management consultancies globally and the autonomy to thrive in a fast growth tech culture:
Healthcare Efficiency – We helped a healthcare provider improve their clinical trial practices by identifying congestion in diagnostic testing as a key indicator of admissions breaches.
Environmental Impact – We designed and built the first data-driven application for a state of the art centre of excellence in urban innovation by collecting real-time data from environmental sensors across London and deploying proprietary analytics to find unexpected patterns in air pollution.
Product Development – We worked with the CEO of an elite automotive organisation to reduce the 18-month car development timeframe by improving processes, designs and team structures.
Please note that the recruiting process for this role can take up to 5 weeks, together with the necessary preparation - we advise you to take this into consideration when thinking about the timing of your application."
Data Scientist / Data Analyst F/H,SIDERLOG CONSEIL,Rennes (35),-,-,"Descriptif du poste:
Vous travaillez en relation directe avec le client et intégrez une équipe de consultants Siderlog, vous devrez :
Collecter les besoins et assister à la rédaction de cahiers des charges auprès des directions fonctionnelles (outils, modèles, choix d’indicateurs, …)
Concevoir et développer des applications statistiques, tableaux de bord, scoring, Machin Learning avec R, Python, SAS, Spark.
Créer des algorithmes de recherche de données.
Obtenir des données adéquates et pertinentes.
Gérer l’administration, la modélisation et l’architecture de gisements de données.
Interpréter les résultats des analyses sous forme de propositions et de conseils.
Accompagner les métiers dans des ateliers de travail, réunions, formations, recettes et supports utilisateurs.
Profil recherché:
Bac+5,
De formation décisionnelle, assurance ou statistique, vous disposez d’au moins cinq ans d’expérience dans l’accompagnement des directions fonctionnelles (Contrat, Sinistre, Marketing, Actuariat, Banque,) en tant que Data Analyst ou Data.
Vous maîtrisez les architectures Big Data et vous avec une bonne pratique des outils associés
Vos qualités relationnelles et rédactionnelles seront les garantes de votre réussite dans ce poste en lien direct avec les utilisateurs.
Vous avez le sens de l’organisation et êtes et rigoureux dans votre travail.
Entreprise:
Du plaisir à faire son travail, dans un environnement stimulant où l'on apprécie la qualité de la relation humaine. Voilà le ressenti exprimé par les femmes et les hommes de SIDERLOG. Depuis 2003, nos valeurs s'articulent autour de l'excellence, l'exigence, la confiance et l'esprit d'équipe.


A Paris, Lyon, Nantes et Niort, de grands noms de l'Assurance, de la Banque, des Mutuelles et de l'Energie s'attachent nos services et apprécient tous les avantages de notre approche du conseil, notre flexibilité et notre sens du service. SIDERLOG CONSEIL accompagne ses clients dans la déclinaison opérationnelle de leur stratégie.


Nous intervenons et sommes des acteurs reconnus dans 3 domaines :
Conseil en organisation et en conduite du changement,
MOA SI et Management de projet,
Data et Digital.


Nous rejoindre, c'est intégrer une entreprise dont l'humain est au cœur de notre développement, un cabinet où l'autonomie, la confiance et le partage sont des principes forts.


Entre 2003 et 2021 SIDERLOG est passée d'une d'idée, d'une ambition, à un cabinet de plus de 160 consultants."
Clinical Data Scientist,POPSI CUBE,Paris 13e (75)," -  Temps plein, CDI",2 500 € par mois,"Le Groupe POPSI CUBE, est depuis 2004 reconnu comme une Organisation de Recherche Clinique (CRO) proposant une double expertise innovante et différenciante en combinant la mise en place de projets de recherche clinique ainsi que les outils informatiques spécifiques aux standards règlementaires de l'industrie Pharmaceutique et de la Santé.Nous disposons de bureaux en France, Etats Unis, Chine et Russie ainsi qu'un réseau de partenaires à taille humaine nous permettant de gérer tous les projets globaux quelles que soient leurs localisations.Nous recherchons pour une mission en prestation chez un de nos clients, un (e) Clinical Data Scientist H/FNous recherchons un profil ayant des compétences complémentaires en biostatistique, Datamanagment et informatique, pour mener et piloter des projets de R&D et notamment la remise à plat et le suivi d’une cohorte de patients dans le VIH.Vos missions : Diriger et piloter un projet de documentation et d’optimisation d’une base de données d’une cohorte de 20 000 patientsRéalisation des activités de Data Management, Labelisation et optimisation de la base de donnéesRédaction de la documentation : validation DMP, historisation, documentation, guide d’exploitationGestion de la relation avec les équipes épidémiologiquesProfil recherché: Vous êtes diplômé BAC+5 (IUT, Master 2, SupSanté, etc.)Vous avez plusieurs compétences complémentaires : Biostatistique, Datamanagement, Informatique (Base de données)Vous justifiez d’une expérience de plus de 4 ansVous bénéficiez d’une bonne connaissance des études cliniques et des standards (ICH, CDISC)Vous êtes organisé, rigoureux, bon rédacteur et êtes toujours de bonne humeur.Vous avez un anglais courantPoste à pourvoir immédiatement ou au plus tard 1/10/2021 impératif dans le cadre d’un CDI.Date limite de candidature : 01/10/2021Date de début prévue : 01/10/2021Type d'emploi : Temps plein, CDISalaire : à partir de 2 500,00€ par moisAvantages :Participation au TransportHoraires :Du Lundi au VendrediPériodes de Travail de 8 HeuresTélétravail:Non"
Data Scientist H/F/NB,Ubisoft,Paris (75),-,-,"Description de l'entreprise
Les équipes d’Ubisoft sont animées par leur volonté d’enrichir la vie des joueurs avec des expériences de divertissement originales et mémorables. Elles donnent vie à des mondes, de véritables terrains de jeux où l’imagination peut s’exprimer librement, donnant naissance à des moments de surprise, de fun et d’aventure qui permettent aussi au joueur d’apprendre et se découvrir.

Chez Ubisoft, vous avez l’opportunité de collaborer et d’évoluer avec des équipes passionnées et pionnières dans leur domaine, partout dans le monde. Vous progresserez dans un environnement bienveillant et inspirant dans lequel vous repousserez les limites de l’imaginaire et de la technologie pour créer les mondes qui passionneront nos joueurs.

Description du poste
Au Studio UBISOFT Paris, vous rejoindrez l’équipe Player Analytics responsable de l’exploitation des données comportementales des joueurs et des données de nos pipelines de production de jeux vidéo pour les studios d’UBISOFT France, à l’origine des titres « Ghost Recon Breakpoint », « Mario + Rabbids Kingdom Battle », « Just Dance 2021 » ou encore «Watch_Dogs 2».
Player Analytics est une équipe pluri disciplinaire (Data Analyse, Data Science, Data Visualisation) de plusieurs dizaines de personnes.
En tant que Data Scientist H/F/NB, vous participerez au développement de nos jeux et permettrez d’améliorer leur qualité.
Missions
Au sein de l’équipe responsable de l’analyse des données et sous la responsabilité du Lead Data Scientist, vous interviendrez sur une réelle diversité de projets sur des sujets touchant à l'analyse de données. Vous pourrez contribuer à des POCs et à leur déploiement ou à des sujets plus longs terme, pour les projets AAA du studio (Just Dance, Beyond Good & Evil 2 etc …).
De manière plus globale, en tant que Data Scientist H/F/NB vous aurez la charge de :
Proposer et prioriser des solutions techniques en vue de POCs sur des sujets multiples,
Développer et déployer de nouveaux algorithmes en tenant compte du design des jeux et en s’inspirant des algorithmes les plus avancés.Identifier les opportunités d’expérimentation et d’innovation,
Participer à la mise en place des stratégies d’expérimentation (user tests, A/B testing…) pour mesurer l’impact de vos approches,
Collaborer avec les équipes de production (développeurs, game designer, user researchers),
Communiquer sur vos travaux et vos résultats de façon pédagogique pour un public varié.

Qualifications

Vous disposez d'une expérience d'au moins 2 – 3 ans en tant que Data Scientist sur des projets variés,
Vous avez une bonne maitrise de Python et de Spark,
Vous avez une première expérience avec Tensorflow ou PyTorch,
Vous avez une passion pour l'univers du jeu vidéo,
Vous êtes une personne structurée et organisée et avez déjà pu intervenir au sein de projets à forte volumétrie de données,
Votre capacité d'écoute et de compréhension sont reconnues et vous savez traduire les besoins des clients en spécifications,
Vous faites preuve d’autonomie et de curiosité,
Avoir des connaissances en Computer Vision est un plus,
Vous êtes à l'aise en anglais, à l'oral et à l'écrit.
Informations supplémentaires
Ubisoft veille à développer un environnement de travail inclusif qui reflète la diversité de sa communauté de joueurs dans ses équipes.
En tant qu’employeur, Ubisoft offre à tous les mêmes opportunités d’accès à l’emploi sans distinction de genre, ethnicité, religion, orientation sexuelle, statut social, handicap et d’âge."
Data scientist – jeune Docteur(e) en Deep learning - Projet Innerve : Développement d’une IA pour l’analyse de maladies neuropathiques,Quantmetry,Paris (75),CDI,-,"Qui sommes-nous ?
Quantmetry - the State of the Art AI company - est le cabinet français de conseil de référence en intelligence artificielle, pure player, pionnier et indépendant depuis sa création en 2011. Les 120 collaborateurs et chercheurs-consultants de Quantmetry mettent leur passion au service des entreprises de tous secteurs, et accompagnent les grands groupes français et internationaux dans leurs projets de data transformation, de la stratégie à l’industrialisation des cas d’usage.
Nos réalisations tournent autour de thématiques telles que :
Supply Chain : schéma directeur logistique et optimisation de réseau, prévision de la demande, optimisation des approvisionnements et des stocks, calcul de tournées, ETA...
Industrie 4.0 : optimisation de rendement/productivité, contrôle qualité de production, détection de signaux faibles, maintenance prévisionnelle...
Connaissance client : segmentation, détection de churn, scoring client, recommandation d’offres...
Gestion des risques : prévision de défaut de paiement, détection de fraude mais également de corruption, de blanchiment d’argent...

Hors mission, nous avons également la chance de pouvoir explorer des projets transverses (R&D, rédaction d’articles) et surtout, de pouvoir compter à tout instant sur nos Quanters : la communauté Quantmetry !
Très active au sein de la communauté Data et IA de Paris, Quantmetry est également connu pour ses projets de veille et de R&D, ainsi que pour des initiatives telles que DataJob - le salon des métiers de la Data - ainsi que les meet-ups Paris Data Ladies et AI Engineering.
Site web :
http://quantmetry.com
Poste et missions
Contexte et contenu du poste
Contexte et contenu du poste

La biopsie cutanée est un examen clé pour le diagnostic de neuropathie des petites fibres en raison de la présence de petites fibres nerveuses intra-épidermiques. Lors d’une neuropathie périphérique avec atteinte sensitive, on observe une diminution du nombre de ces fibres dès le stade précoce. Ces fibres sont visualisées grâce une technique d’immunofluorescence avec un anticorps couplé à un fluorochrome, mais leur décompte est un travail fastidieux et chronophage prenant en moyenne 1h30 par patient.

Les rendus de résultats sont très longs, supérieurs à 2 mois. Les difficultés liées à cette quantification limitent le nombre de patients pouvant y accéder (178 patients par an pour l’Hôpital Bicêtre qui est un des 2 seuls centres réalisant cet examen en Ile de France) alors que les besoins sont considérables. L’objectif du projet INNERVE est de développer une IA permettant un diagnostic rapide, précis, moins coûteux, révolutionnant ainsi la prévention et le traitement des maladies neuropathiques périphériques.

Dans le cadre de ce projet, Quantmetry recherche un(e) jeune Docteur(e) Data Scientist avec un intérêt fort en analyse d’image et en ingénierie médicale pour participer au projet Innerve.

Ce profil sera intégré au sein d’une équipe dédiée au projet et travaillera pendant les 6 premiers mois sur le projet Innerve pour :
Etudier l’état de l’art lié à l’analyse d’images médicales
Travailler sur la récolte, l’analyse et l’exploitation des images
Utiliser des méthodes algorithmiques pour l’explicabilité des réseaux de neurones profonds
Travailler sur les derniers algorithmes de Deep Learning pour détecter et segmenter les images
Contribuer à l’expertise images en collaborant avec des experts Data Science sur un sujet de recherche pionnier
Mise en production de l’algorithme IA

Par la suite, le jeune docteur(e) sera amené à travailler avec les équipes de consultants Quantmetry sur des projets avec une composante Computer Vision.
Mobilité géographique :
Nationale
Profil
Vous êtes un(e) jeune Docteur(e) et avez un intérêt pour le domaine de la data science et plus spécifiquement de la Computer Vision. Vous avez une bonne capacité à interagir en équipe sur une problématique requérant autonomie et une certaine rapidité d’action.

Nous recherchons une personne avec :
La capacité à travailler aussi bien en équipe qu’en autonomie et à se montrer proactif
Un doctorat en Machine Learning, ou en traitement d’image ou en bio-informatique, ou en physique
Être prêt/e à rédiger des manuscrits en anglais
Une bonne connaissance en Python, TensorFlow, Keras, Pytorch
Une sensibilité vis-à-vis des bonnes pratiques du développement logiciel
Objectifs
Dans le cadre de ce poste, vous serez intégré au département R&D de Quantmetry, la Quantlab pendant une durée de 3 à 6 mois pour travailler exclusivement sur le projet Innerve avant de rejoindre nos effectifs en qualité de Data scientist ou Machine Learning Engineer."
Data Scientist H/F,WEB TRANSITION,Boulogne-Billancourt (92)," -  Temps plein, CDI",30 000 € - 50 000 € par an,"Web Transition recrute un Data Scientist H/F, en Île-de-France.Implantés à Paris et à Lille, chaque jour et depuis 10 ans, ce sont 60 consultants Web Transition qui interviennent auprès de nos clients dans le développement de leurs activités digitales.Nous avons rejoint le Groupe MoOngy (5000 personnes) comme la filiale reconnue dans la Transformation Digitale et le E-commerce.Dans les secteurs du retail, du luxe, de la banque & assurance et des services, nos Consultants accompagnent nos clients grâce à leurs expertises en Digital Marketing, Design, Pilotage de Projets Web & Mobile, Data & IT.Nous intervenons en Régie, en Forfait et proposons des formations (organisme certifié) auprès de nos clients : Leroy Merlin, Castorama, LVMH, Okaïdi, Carrefour, Seloger.com, Accor, Crédit Agricole…✔ Vos missions :Votre mission principale consiste à mettre en place et à accompagner les projets data, ainsi qu’à répondre aux différentes problématiques et besoins métiers.Vous travaillez sur les problématiques e-commerce et marketing clients via des analyses de données et des modélisations, afin de renforcer la connaissance du marché et du portefeuille clients. Vous collaborez étroitement avec l’équipe data interne (Data Scientist, Data Analyst, Data Engineer) ainsi qu’avec l’équipe marketing.Vous aurez pour principales missions :· L’analyse et l’exploitation des données en grande quantité ;· La définition des modèles prédictifs et des algorithmes d’analyses des données, ainsi que leur mise en production ;· La collecte, la structuration, le croisement et la restitution via des dashboards des données ;· L’automatisation de reporting ;· L’identification des risques et analyse d’impact ;· L’optimisation de la segmentation client à l’aide des statistiques ;· La mise en place des infrastructures Big Data pour traiter les données ;· L’analyse des résultats et la proposition des solutions.✔ Votre profil :· Issu d'une formation bac+5 (université, école d’ingénieurs ou école de commerce avec spécialisation en informatique/statistiques/mathématiques/économétrie/big data), vous justifiez d’une expérience d’au moins 3 ans sur un poste similaire dans le domaine du e-commerce ;· Vous maîtrisez les méthodes statistiques et leurs applications opérationnelles ;· Vous maîtrisez les langages de traitement de données (Python, R, SQL, ou encore Spark) ;· Vous avez une connaissance approfondie des technologies et services cloud (GCP, Azure) ;· Vous avez d’excellentes capacités de communication et de vulgarisation.Cette opportunité vous intéresse ? N'hésitez plus et tentez l'aventure !Statut : CadreType d'emploi : Temps plein, CDISalaire : 30 000,00€ à 50 000,00€ par anAvantages :Participation au TransportTitre-restaurantHoraires :Du Lundi au VendrediRémunération supplémentaire :PrimesTélétravail:Temporairement en raison du COVID-19"
Expert Machine learning / Data Scientist H/F,OSO-AI,29280 Plouzané, -  CDI,30 000 € - 60 000 € par an,"OSO-AI met en application l’Intelligence Artificielle dans le domaine du médico-social et de la santé. Nous sommes aujourd’hui une vingtaine et serons 30 d’ici 2 ans.Nous développons des services et des produits qui aident les personnes fragiles, et ceux qui les accompagnent. Notre ambition est d’améliorer la société.Nous souhaitons que les salariés soient impliqués dans la vie de l’entreprise. Nous avons mis en place la transparence totale sur les informations, et les décisions, pour que chacun puisse s’engager, et contribuer activement.Nous rencontrons tous les jours de nouveaux problèmes, souvent plus complexes que ceux de la veille. Pour y répondre, nous innovons, avec audace.L’évolution de votre rôle au sein de l’entreprise dépend de vous et les opportunités sont nombreuses. Un mécanisme de BSPCE qui fait bénéficier les salariés des réussites de l’entreprise est en place.ORGANISATIONLa crise sanitaire a confirmé notre volonté de privilégier le travail à distance. Nous mettons en place les outils et la culture qui permettent à chacun, où qu’il soit et selon ses horaires, de contribuer pleinement au développement de nos services. Cette liberté requiert, nous en sommes conscients, une autonomie et une maturité qui ne sont pas courantes.DETAIL DU POSTEDévelopper des modèles pour traiter le signal sonore et les séries temporelles.Essayer des modèles à l’état de l’art et les adapter.Définir les besoins avec les autres membresEtre support, force de proposition et définir les procédures et documentation, indispensables dans un environnement distribuéCOMPÉTENCES ATTENDUESMaîtrise des concepts fondamentaux de l’optimisation, des statistiques, de la modélisation probabiliste, du data mining et du machine learning. Des connaissances sur le traitement du signal et/ou sur la théorie de l’information peuvent être un plus.Bon niveau en algorithmique et en implémentation numérique.Maîtriser python, avoir déjà utilisé une bibliothèque de data science comme Scikit-Learn, savoir utiliser un outil de calcul tensoriel (dans l’idéal, maîtriser Pytorch et avoir déjà utilisé Tensorflow).Comprendre en profondeur les publications scientifiques, s’approprier les concepts.Maitriser les développements collaboratifs et les outils qui s’y rapportent (gestion de versions et environnements virtuels pour la reproductibilité, travail à distance sur un serveur, ....)Statut : CadreType d'emploi : CDISalaire : 30 000,00€ à 60 000,00€ par anHoraires :Travail en journéeTélétravail:OuiPrécautions contre le COVID-19:Processus de recrutement à distance"
Ingénieur Data Scientist H/F,CS Group,Le Plessis-Robinson (92),CDI,-,"CONTEXTE ET MISSION
Vous souhaitez évoluer dans une entreprise à dimension humaine qui encourage l’innovation, la curiosité et la prise de responsabilités ?

Laissez votre talent s’exprimer dans des missions de haut vol et partagez nos valeurs humaines qui favorisent le développement de tous, au sein d’une organisation structurée et agile reconnue pour sa forte expertise technique au service de projets passionnants et rares sur le marché.

Nous vous proposons d’intégrer la Business Unit Aéronautique, Énergie et Systèmes Industriels composée de 500 collaborateurs à travers la France, nous contribuons aux développements de programmes dans les secteurs des systèmes d’informations scientifiques et techniques, de la simulation numérique ainsi que des systèmes sûrs.

Afin de renforcer nos équipes projets chez l'un de nos clients, nous recherchons un(e) ingénieur(e) Data Scientist H/F.

Vous travaillerez dans le cadre de Data engineering pour des applications dans le domaine aéronautique et spatial.

Votre rôle sera d’analyser et de caractériser les données existantes,d’appliquer des algorithmes d’apprentissage sur des données pré-traitées,et de faire du traitement automatique du Langage Naturel.
PROFIL
Chez CS GROUP, c’est autant votre expertise que votre personnalité qui feront la différence :
Vous avez de bonnes connaissances de Python, Docker, du Machine learning et du langage naturel.

Vous êtes rigoureux(se), à l'écoute et avez le sens de la pédagogie.

N’attendez plus, partagez votre CV et additionnons nos talents !

La suite des événements :

Notre équipe de Recruteurs traitent votre candidature dès réception.
Bonne nouvelle ! Celle-ci nous intéresse : nous vous contactons pour un premier échange téléphonique. Si celui-ci est positif, un Responsable opérationnel prendra le relais avec un entretien technique. Enfin, vous rencontrerez l’un de nos Recruteurs lors d’un entretien RH. A l’issue de ces rencontres, nous nous engageons à vous faire un retour dans un délai maximal de 2 semaines.

Ce poste ne correspond pas tout à fait à vos attentes ? Vous pouvez utiliser l’option candidature spontanée en cliquant sur le lien suivant : https://cs.jobs.net/fr-FR/join"
