title,company,city,contract_type,salary,description,link
CDI Data Analyst Opérationnel F/H,Ringover,Paris 4e (75),CDI,-,"Descriptif du poste:
Nous recherchons un/une Data Analyst Opérationnel qui travaillerez sur les missions suivantes :
 Extraction et structuration des données :
Extraire les données nécessaires à l’analyse (Web scraping, API…).
Définir des règles de gestion de structuration des différentes bases de données entre elles.
Écrire et rédiger les spécifications d’automatisation des règles de gestion à la direction des systèmes d’information ou à la maîtrise d’ouvrage.
Maîtriser la qualité des données tout au long de leur traitement.
Analyse et exploration des données
Réaliser des tableaux de bord ou des outils de reporting industrialisés.
Construire et tester des modèles statistiques (régression, forêt aléatoire…).
Déterminer ou construire les variables importantes à introduire dans les modèles statistiques.
Communication avec les équipes clientes
Comprendre précisément les problématiques métiers et les traduire de manière analytique.
Communiquer les résultats et les solutions avec les équipes métiers.
Présenter les résultats des analyses grâce à des outils de data visualisation.
Veille technologique sur les outils d’analyse de données
Effectuer une veille sur les nouvelles technologies et solutions logicielles d’analyse des
Votre poste vous amènera à travailler en liaison directe avec les différents services en interne (Technique, Commercial, Direction Générale)
Profil recherché:
Profil recherché :
Vous justifiez d’une expérience réussie de minimum 2 ans idéalement dans le data
Vous possédez de solides compétences en Microsoft Office, surtout l’Excel
Français / Anglais obligatoire – Ecrit et Oral parfait.
Excellent sens du business, et orienté résultats
Être créatif et proactif
Vous connaissez l’univers tech et avez un réel intérêt pour les solutions saas et les fonctionnalités proposées par Ringover
Ce que vous apporte Ringover :
Un environnement de travail ambitieux dans une entreprise en forte croissance
Une équipe dynamique et des moyens pour réussir
Process de recrutement :
Entretien de préqualification par l’équipe RH
Entretien avec notre COO

Nous vous invitons à suivre le profil Linkedin de Ringover ici pour vous tenir au courant de toutes les nouvelles de l'entreprise. Deux clics seulement et vous ferez partie de la communauté Ringover.
Toutes les personnes seront considérées pour un emploi sans tenir compte de toute discrimination (race, couleur, sexe, orientation sexuelle...)
Entreprise:
Ringover Group est éditeur de logiciel SaaS et opérateur téléphonique européen depuis 2005. Sa vision : révolutionner la téléphonie d’entreprise et la transformer en un outil de productivité moderne et agréable à utiliser. De cette idée est née Ringover, une puissante solution de communication 100% Cloud intégrant téléphonie, visioconférence, SMS et messagerie collaborative. La clé : une maîtrise technologique de bout en bout, une interface simple et ergonomique intégrée aux logiciels métiers des entreprises et un pilotage efficace de la performance grâce à des outils statistiques et de supervision.
Scale-up française en hyper-croissance toujours dirigée par ses fondateurs, adoptée par plus de 10 000 clients, Ringover est en passe de devenir LE leader français de la téléphonie Cloud et a amorcé un développement à l’international à grande vitesse en développant des pôles sur l’Espagne et le Royaume-Uni.",https://fr.indeed.com/rc/clk?jk=0e9e065f4bb4ce30&fccid=f843045e8db6a245&vjs=3
CDD 9 mois - Analyste Marketing - data H/F,Groupama Gan Vie,Bordeaux (33),CDD,-,"Au sein de la Direction Individuelles, du pôle Développement Marketing et Animation, nous sommes à la recherche d'un.e Marketing Data Analyst.
Vos missions seront les suivantes:Définir différents outils d'analyse et concevoir des tableaux de bord qui aident la prise de décision et au suivi de la performance commerciale.Traduire et «faire parler» les données des différentes opérations (Campagnes Commerciales, Opérations Télémarketing, etc) pour les transformer en informations opérationnelles sous forme de synthèses, reporting et présentations.
Mettre en perspective les données analysées avec les orientations business globales et/ou spécifiques de l'entreprise et mesurer leur impact stratégique à moyen et long terme : Participer au pilotage de l'activité en détectant les opportunités de croissance et proposer des plans d'action.Définir des indicateurs décisionnels clés permettant de piloter et d'optimiser le cycle de vie du client dans un parcours multicanalPrésenter les données analysées de manière claire, visuelle et pédagogique.
Recueillir et comprendre les besoins métiers propres à chaque projet (ciblage des campagnes marketing, automatisation de process, segmentation des producteurs…)

Profil

Vous justifiez d'une formation supérieure avec une spécialisation en analyse de données marketing.

Vous possédez une première expérience professionnelle similaire acquise de préférence au sein du secteur assurance.
Ecoute, curiosité , organisation, dynamisme, polyvalence seront vos atouts pour réussir.

Impliqué(e), vous savez également vous adapter aux impératifs opérationnels.
Vous cultivez l'esprit d'équipe vous permettent de vous intégrer rapidement.
Excellente maîtrise des outils et du langage informatique, des techniques d'analyses des données et des méthodologies statistiques, A l'aise sur Excel, vous êtes autonome dans les fonctions avancées, macros et langage VBA et idéalement SQL.
Connaissance d'outils de BI et/ou data visualisation SAS, ou encore Qlik Sense

Profil principal

Marketing / Communication - Etude/Veille/Suivi des ventes
Type de contrat

CDD
Durée du contrat

9 mois
Statut conventionnel appliqué/ Classe

CC Echelon intermédiaire/Classe 5
Catégorie emploi

Cadre
Localisation du poste
Localisation du poste à pourvoir

France, Nouvelle-Aquitaine, GIRONDE (33)
Géolocalisation par zone

Non
Ville

Bordeaux
Critères candidat
Niveau d'études min. requis

Bac+5 et plus
Niveau d'expérience min. requis

2 à 5 ans",https://fr.indeed.com/rc/clk?jk=5bacf48e140fb3f5&fccid=001c941b4bd131d5&vjs=3
Data analyst/Data scientist F/H,Talentpeople.net,Meudon (92),CDI,-,"Description de l'entreprise :
TALENTPEOPLE est le leader français du conseil en Talent Acquisition.
Notre client, opérateur de télécommunications français recherche un data scientist/data analyst F/H en CDI.
Description de l'offre :
Au sein du pôle « études statistiques et connaissance client » de la Direction Stratégie, vous rejoignez une équipe de 7 personnes soucieuse d'intégrer un nouveau participant à leur belle aventure liée à des projets stimulants et innovants. A ce titre, vous aurez en charge de :
- mieux accompagner les clients ou le pilotage (churn, cross sell, segmentation, modèle de prévision, ...),
- réaliser des études afin d'orienter les décisions opérationnelles et stratégique de l'entreprise,
- explorer de nouvelles données pour améliorer les différents travaux.
Profile recherché :
• Vous êtes diplômé(e) d'un Master 2 grande école en Data de données, économétrie ou mathématiques appliquées, et vous avez minimum 4 ans d'expérience (hors stages et alternances).
• Vous utilisez les méthodologies statistiques appropriées à vos problématiques et appréciez de les restituer en les rendant accessibles à vos différents interlocuteurs.
• Vous savez assurer de bout en bout la réalisation de vos études et projets (recueil des besoins, cadrage et choix de la méthodologie, construction des bases d'études, réalisation des analyses et modélisations, restitution).
• Enfin, la maîtrise de la plateforme Dataiku, du langage SQL ainsi que Python / Spark et les librairies de machine learning associées est nécessaire.
A vos CV's !",https://fr.indeed.com/rc/clk?jk=6130e09b0a6cd88c&fccid=44ec5fbac93ef0a8&vjs=3
Développeur UX Data Science H/F,Dassault Systèmes,Paris (75),CDI,-,"Imaginez demain…

Au sein de l’organisation NETVIBES, vous rejoignez l’équipe PartSupply Data Experiences. Votre mission sera de participer au développement de la nouvelle UX des data sciences de classification & de standardisation en React sur le cloud de DS.

Poste basé à Paris (8ème), en CDI

Vous avez des rêves plein la tête ? Vous aimez le challenge ? Vous avez la passion d’innover, Dassault Systèmes vous aide à changer le monde ! Grâce aux univers virtuels 3DEXPERIENCE, ouvrons ensemble nos horizons.

#react #cloud

Votre contribution et vos missions

En tant que Développeur UX, vous intégrez une équipe de data scientists expérimentés dans le domaine de la classification et de la standardisation des données et vous aurez pour missions de :

Spécifier un paradigme d'UX commun pour ces 2 domaines et compatible avec la 3DExperience plateforme
Développer les composants en React pour offrir une expérience responsive et intégrée

Vos atouts pour réussir
De formation Bac+5 (Ingénieur ou Universitaire), avec une spécialisation en Informatique
Vous justifiez d’une expérience en UX web, en particulier avec la technologie JS/React
Des connaissances en architecture client/web seront appréciées
Vous démontrez sens de la rigueur dans l’exécution et avez de bonnes capacités de communication pour échanger avec votre équipe et l'ensemble des experts des autres équipes
Vous maîtrisez l'anglais à l’écrit comme à l’oral",https://fr.indeed.com/rc/clk?jk=a19968f8ff7bdad4&fccid=29d37d43c382c8fe&vjs=3
Data Scientist dans une startup,Licorne Society,Paris (75),-,-,"Licorne Society est à la recherche de Data Scientist pour des startups innovantes, ne laisse pas passer ta chance !


C’est quoi Licorne Society ?


Le seul outil qui te met en relation avec plus de 3000 startups recrutant en France, tous secteurs et régions confondues. Qu’elles soient en création, en amorçage, en structuration ou en phase d’hypercroissance, toutes les startups t’attendent sur Licorne Society. Ah oui, et c’est gratuit !

Notre promesse : faire matcher ta recherche avec les meilleures opportunités et mettre en avant ton profil auprès des startups qui recrutent.


>> www.licornesociety.com <<


Du coup comment ça marche ?

En une phrase : 10mn pour le formulaire d’inscription (montre en main) contre ton job dans une startup en route pour le succès.


Plus sérieusement :

1 - Remplis ton profil et tes attentes. Plus ton profil est complet, plus tu augmentes tes chances de recevoir des offres faites pour toi !

2 - Passe en revue les offres que nous te proposons en fonction de tes critères de recherche et reçois une notification à chaque nouvelle offre publiée. Avec notre mode Tinder, tu n’as qu’à swiper les offres. Matcher avec le job de tes rêves n’a jamais été aussi simple !

3 - Pour t’accompagner toujours plus loin dans ta recherche d’opportunités en startup, on te réserve une dernière surprise : faire partie de notre Talent Letter. Le concept est simple, on envoie les plus beaux profils de Data Scientist à nos startups préférées (pour ne citer que BackMarket, PlayPlay, Payfit, Trustpair ou encore Choco) en recherche de nouveaux talents. Du coup, fini les envois de CVs infinis, les recruteurs te contactent directement ! Alors, envie de participer à la prochaine édition ?


Profil recherché :

Tu as une première expérience de Data Scientist et tu es très motivé.e pour rejoindre une start-up / scale-up ou tu es prêt.e à décrocher ton tout premier job

Tes ami.e.s et tes collègues t’ont renommé.e “jeune entrepreneur.e” dans toutes vos discussions

Tu as soif de challenge et de nouveaux apprentissages

Tu es prêt à cliquer sur le lien d’inscription : www.licornesociety.com


On ❤️ chez Licorne Society :

des exemples de prises d’initiatives ou projets menés avec l’esprit entrepreneurial

des expériences dans des environnements particulièrement exigeants

des exemples de réalisations édifiants ou résultats chiffrés


On se dit à tout de suite sur la plateforme ?

>> www.licornesociety.com <<",https://fr.indeed.com/rc/clk?jk=5ea12029f090a692&fccid=ee4296beb506764d&vjs=3
Responsable Data Analyst F/H,Bouygues Telecom,Nantes (44),-,-,"Descriptif du poste:
Au sein de la Direction Financière de Réseau Clubs Bouygues Telecom, filiale retail de Bouygues Telecom, vous serez directement rattaché(e) au DAF et prendrez la responsabilité de l'équipe en charge du suivi et du pilotage de la performance commerciale de nos 520 boutiques.

En tant que Responsable Data Analyst, vous aurez pour principales missions :

Le management et l'animation de votre équipe composée de trois Data Analysts.
La fixation des objectifs commerciaux correspondant aux engagements validés avec la Direction Générale.
La validation de la déclinaison de ces objectifs au sein des équipes commerciales avec une décomposition par canal de vente, zone géographique/région et point de vente.
La mesure des résultats obtenus suivant l'ensemble des axes d'analyse souhaités et la diffusion industrielle des rapports d'activité.
La production du bilan des « challenges/incentives » déployés et la proposition de pistes d'amélioration/ d'optimisation des gestes commerciaux au « fil de l'eau ».
La supervision de l'avancement des plans d'actions afin de suivre l'amélioration des résultats.
La participation aux études spécifiques demandées par le terrain,
L'exploitation optimale des KPIs afin que l'entreprise reste compétitive sur un marché des télécom très dynamique.
La construction de prévisions de vente et analyses de l'impact sur l'activité lié à des phénomènes divers : lancement de nouveaux produits, campagnes marketing, promotions chez la concurrence, incidents SI, covid…

Vous animerez tout au long de l'année le processus de gestion des différentes référence s d'objectif commercial de la filiale (3 forecast + 1 Plan Stratégique à 3 ans par an)

Enfin, vous serez force de proposition auprès du management lors des réunions hebdomadaires/ mensuelles avec la Direction Commerciale, comme lors de réunions trimestrielles/ annuelles avec le Comité de Direction de la filiale.
Profil recherché:
Compétences :

Planification & Organisation.
Maitrise de la suite Microsoft (dont un niveau Excel très élevé), SQL, Tableau.
Bon relationnel, capacité de communication écrite et orale
Capacité à travailler en équipe Leadership afin d'animer un comité de Direction.
Première expérience managériale réussie.
Entreprise:
Les technologies évoluent, les besoins de nos clients aussi. C'est en restant constamment à leur écoute, au plus près de leurs attentes et préoccupations, que nous pouvons répondre au mieux à leurs besoins, pour aujourd'hui et demain. En boutique, nos équipes mettent tout en œuvre pour offrir la meilleure expérience numérique à nos clients. Réseau Clubs Bouygues Telecom (RCBT), filiale de distribution de Bouygues Telecom est à la recherche de nouveaux talents !",https://fr.indeed.com/rc/clk?jk=eee3f9e3324f65f6&fccid=f843045e8db6a245&vjs=3
Responsable Data Analyst F/H,Bouygues Telecom,Nantes (44),-,-,"Descriptif du poste:
Au sein de la Direction Financière de Réseau Clubs Bouygues Telecom, filiale retail de Bouygues Telecom, vous serez directement rattaché(e) au DAF et prendrez la responsabilité de l'équipe en charge du suivi et du pilotage de la performance commerciale de nos 520 boutiques.

En tant que Responsable Data Analyst, vous aurez pour principales missions :

Le management et l'animation de votre équipe composée de trois Data Analysts.
La fixation des objectifs commerciaux correspondant aux engagements validés avec la Direction Générale.
La validation de la déclinaison de ces objectifs au sein des équipes commerciales avec une décomposition par canal de vente, zone géographique/région et point de vente.
La mesure des résultats obtenus suivant l'ensemble des axes d'analyse souhaités et la diffusion industrielle des rapports d'activité.
La production du bilan des « challenges/incentives » déployés et la proposition de pistes d'amélioration/ d'optimisation des gestes commerciaux au « fil de l'eau ».
La supervision de l'avancement des plans d'actions afin de suivre l'amélioration des résultats.
La participation aux études spécifiques demandées par le terrain,
L'exploitation optimale des KPIs afin que l'entreprise reste compétitive sur un marché des télécom très dynamique.
La construction de prévisions de vente et analyses de l'impact sur l'activité lié à des phénomènes divers : lancement de nouveaux produits, campagnes marketing, promotions chez la concurrence, incidents SI, covid…

Vous animerez tout au long de l'année le processus de gestion des différentes référence s d'objectif commercial de la filiale (3 forecast + 1 Plan Stratégique à 3 ans par an)

Enfin, vous serez force de proposition auprès du management lors des réunions hebdomadaires/ mensuelles avec la Direction Commerciale, comme lors de réunions trimestrielles/ annuelles avec le Comité de Direction de la filiale.
Profil recherché:
Compétences :

Planification & Organisation.
Maitrise de la suite Microsoft (dont un niveau Excel très élevé), SQL, Tableau.
Bon relationnel, capacité de communication écrite et orale
Capacité à travailler en équipe Leadership afin d'animer un comité de Direction.
Première expérience managériale réussie.
Entreprise:
Les technologies évoluent, les besoins de nos clients aussi. C'est en restant constamment à leur écoute, au plus près de leurs attentes et préoccupations, que nous pouvons répondre au mieux à leurs besoins, pour aujourd'hui et demain. En boutique, nos équipes mettent tout en œuvre pour offrir la meilleure expérience numérique à nos clients. Réseau Clubs Bouygues Telecom (RCBT), filiale de distribution de Bouygues Telecom est à la recherche de nouveaux talents !",https://fr.indeed.com/rc/clk?jk=eee3f9e3324f65f6&fccid=f843045e8db6a245&vjs=3
DATA MINER / DATA ANALYSTE H/F,LES MOUSQUETAIRES,Bondoufle (91),CDI,-,"Critères de l'offre
Data analyst (H/F)
Bondoufle (91)
CDI
Temps Plein
Secteur : Agroalimentaire
Expérience requise : 1-2 ans , 3-5 ans
Niveau d'études : Diplôme de grande école d'ingénieur , Bac+5
L'entreprise : LES MOUSQUETAIRES
Le Groupement Les Mousquetaires, ce sont 7 enseignes de la grande distribution portées haut et fort par plus de 3 000 chefs d'entreprise indépendants ! Ce sont aussi 150 000 collaborateurs mobilisés autour de notre modèle unique de producteurs et commerçants. Et nous en sommes fiers ! Dans toutes les fonctions au service des points de vente, de la logistique à l'immobilier, en passant par l'industrie agroalimentaire ou l'informatique, nos équipes font nos succès.

Chez Intermarché & Netto, les enseignes alimentaires du Groupement, notre goût d'entreprendre, notre indépendance et la diversité de nos métiers nous permettent d'avoir un impact sur toute la chaîne de production pour répondre aux nouvelles attentes des consommateurs. Chaque jour, nos équipes réunissent leurs compétences autour de la table pour faire vivre notre mission : ""Ensemble, agissons pour placer le mieux manger à la portée de tous"". Envie de vous engager concrètement dans l'action avec nous pour relever nos défis d'aujourd'hui et de demain ? Parlons-en très vite !

Description du poste
Au sein du Service Etudes Finance & Stratégie, nous recherchons un(e) DATA MINER en CDI.
Concrètement quelles seront vos missions ?
Rattaché(e) à Caroline, vos missions seront les suivantes :
Participer aux analyses et traitements de base de données sur l'ensemble des activités du groupe (Point de vente, Client, Produits,...);
Mesure de la performance des opérations commerciales;
Réalisation d'outils d'analyse de la donnée et de reporting;
Réalisation de modèles (projection, prévision de ventes, scoring, segmentation, …);
Enrichissement de nos bases de données décisionnelles;
Veille sur les évolutions technologiques et les tendances sur les métiers de la data;
Envie d'une expérience enrichissante au sein d'une entreprise dynamique qui vous offrira un cadre de travail exceptionnel ?
Rejoignez-nous sur les 83 hectares verdoyants du Parc de Tréville (près d'Evry dans le 91) !
Description du profil
De formation ingénieur ou Bac+5 en statistiques / économétrie / mathématiques appliquées, vous justifiez d'une première expérience.Vous maîtrisez le traitement des bases de données (langage SQL), les techniques d'analyses statistiques et de datamining (outil SAS) et les outils bureautiques du Pack Office.La connaissance des outils Teradata ou Microstrategy, de solutions big data ou de data visualisation est un plus.Au-delà de ces aspects techniques, vos capacités d'analyse et de synthèse vous permettent de produire des recommandations orientées client et business afin d'améliorer la performance.Vous êtes organisé et rigoureux et votre bon relationnel vous permet de vous adapter à des interlocuteurs variés.
Salaire et avantages
Salaire : Salaire selon profil

Référence : 19178905",https://fr.indeed.com/rc/clk?jk=09389223d4c58966&fccid=d4c840d18192b0c6&vjs=3
CDD DATA REPORTING FINANCIER ANALYST (F/H),Crédit Foncier,Charenton-le-Pont (94),CDD,-,"Description de l'entreprise
Le CREDIT FONCIER, filiale du groupe BPCE (Banques Populaires Caisses d’Epargne), est un établissement financier spécialisé dans le financement immobilier. Il assure également le refinancement des crédits octroyés par les réseaux bancaires du groupe BPCE pour des investissements publics et sociaux en utilisant les capacités de sa filiale (Compagnie de Financement Foncier), émetteur de covered bonds noté AAA.
Nous vous proposons de nous rejoindre dans le cadre d’un CDD pour une durée de 6 mois en qualité de Contrôleur de gestion (F/H) au sein de la Direction du Pilotage de la performance – Service Architecture et Projets. Ce poste est à pourvoir de suite.
Poste et missions
Au sein de l’équipe en charge de la gestion et du développement des outils de la Direction Financière, le poste proposé permettra d’assurer la production de reportings ainsi que les travaux nécessaires pour les autres équipes de la Direction financière. Principales missions :
Apporter aux opérationnels du domaine l'aide nécessaire à leur activité en mettant à disposition les outils et les données requises;
Participer aux processus de qualification et de certification des données utilisées dans le domaine;
Assister les utilisateurs, le cas échéant, dans les processus de production et suivre les anomalies;
- Participer aux projets d’amélioration et d'évolution des outils utilisés - Réaliser périodiquement les tableaux de bord attribués.
Profil et compétences requises
Vous êtes titulaire d’un diplôme de niveau Bac +4/5 (école de commerce, d’ingénieur ou équivalent universitaire) et êtes à l'aise avec les outils informatiques (développement / logique algorithmique / utilisation) et la gestion des données (exploitation / analyse / mise en qualité / data mining).
Vous appréciez intervenir sur des projets diversifiés et participer à des chantiers d’amélioration des processus.
Votre sens du résultat, votre curiosité et votre esprit d’équipe sont autant d'atouts pour réussir à ce poste.
Localisation : 4 quai de Bercy, Charenton le Pont (94), à proximité de Paris Bercy. Le site est accessible par le métro ligne 8 station Liberté, ligne 14 Cour Saint-Emilion. Notre établissement est situé à 20 minutes de Gare de Lyon par les transports en commun.
Informations complémentaires sur le poste",https://fr.indeed.com/rc/clk?jk=01b0c403e37b51b3&fccid=68928fde239d7c6b&vjs=3
Data Analyst - Python / SQL (H/F),All You Need,59000 Lille,CDI,-,"En bref : l'entreprise All You Need recrute un(e) Data Analyst - Python / SQL (H/F) en CDI à Lille (code postal 59000). Le candidat idéal ? Expérience de 2 - 5 ans et des compétences en #R # SQL # PYTHON
Descriptif de poste :
Descriptif de poste :
ALL YOU NEED recherche un profil de Data Analyst H/F pour son client, une société de conseils et de services, spécialisée en connaissance et traitement de données.


Intégration dans le service Datamining composé de 6 personnes. Ce service a pour but d’accompagner ses clients dans la mise en œuvre opérationnelle de leurs actions : ciblages, scores, comptages et de réaliser des études quantitatives, avec pour objectif d’apporter des réponses opérationnelles aux problématiques marketing de ses clients (fidélisation, recrutement, attrition, valeur, satisfaction…).


Vous travaillerez en collaboration avec l’équipe commerciale et Data avec pour missions :


Collecter, sélectionner et valider les données clients pertinentes pour l’analyse.
Assurer les opérations d'extraction, de traitement et de mise en forme des données statistiques, en respectant les délais et de la qualité des données traitées et produites.
Élaborer et automatiser des tableaux de bord.
Participer à l’élaboration et à la présentation d'études statistiques.
Suivre l'évolution des bases de données et des outils en veillant à la cohérence et à la validation des informations recueillies.
Améliorer la qualité et enrichir les bases de données clients de l’entreprise.
Maîtriser la qualité des données tout au long de leur traitement
Profil recherché :
Profil recherché :
BAC +4/5 dans les métiers de la statistique, génie informatique et statistique, mathématiques spécialité statistique.
Une expérience de 2 ans minimum est recommandée, hors alternance.
Esprit d’analyse
Rigueur
Bilingue anglais (échanges avec des clients étrangers)
Vous maîtrisez le logiciel R, le langage SQL
Une connaissance sur Python est un +
Compétences :
#R # SQL # PYTHON
Postuler à l’offre",https://fr.indeed.com/rc/clk?jk=53ce3e3c897eac76&fccid=87938437abe201e7&vjs=3
Data Analyst F/H,VIR BY JP,Nogent-sur-Marne (94),-,-,"Descriptif du poste:
Nous recherchons actuellement un(e) Data Analyst pour VIR.

Au sein de la DSI, la mission du Data Analyst consiste à valoriser l’ensemble des données produites au sein de l’entreprise. Il devra créer, administrer et modéliser la base de données et s'assurer d’une mise à jour régulière pour en faciliter l’exploitation par les équipes métiers.

Dans ce cadre, vos missions s'articulent autour des axes suivants :


Réaliser l’extraction, la qualification et la modélisation des données à partir des applications sources.
Analyser les besoins d’indicateurs et de reporting avec les différentes directions opérationnelles.
Concevoir les différents rapports, indicateurs et tableaux de bord métiers et clients.
Rédaction des documentations techniques
Profil recherché:
Titulaire à minima d’une licence en informatique, vous avez une expérience de trois ans minimum dans le traitement et l’analyse des données. Vous maîtrisez les outils d’extraction, traitement, stockage et visualisation des données (Talend, Snowflake, Python, Teradata, PowerBi…) ainsi que des connaissances sur les systèmes de base de données (Oracle, PL SQL, Report Services...).
La maitrise de PowerBi est impérative et des connaissances sur les outils Talend et le Datawarehouse Snowflake ainsi que sur l’environnement Microsoft Azure seraient un plus.

Vous êtes doté(e) d'un bon esprit d'analyse, vous avez un bon sens de la communication et êtes orienté(e) client ? Vous êtes rigoureux et passionné(e) d'informatique ? Vous aimez travailler en équipe et vous impliquer dans le développement de nouveaux produits ?

Alors, VIR BY JP attend votre candidature !
Entreprise:
Venez rejoindre un Groupe dynamique et en plein développement !!
Avec plus de 11 millions de Clients livrés, VIR BY JP est le leader de la livraison aux particuliers de produits lourds et encombrants (meubles, canapés, électroménagers, literies…).
Créé en 1985, VIR by JP dispose aujourd'hui des compétences de plus de 1 200 collaborateurs et de la confiance des plus grandes Enseignes de la distribution et du ecommerce.
VIR by JP c'est l'assurance d'offrir le meilleur de la livraison avec installation de canapés, montage de meubles, mise en service d'électroménagers à chacun de vos Clients.
Une équipe polyvalente constituée de plus de 1 200 collaborateurs intégrés auxquels s’ajoutent toutes nos équipes de partenaires, soit plus de 2.500 intervenants permanents et qualifiés sur toute la France. Une véritable force de frappe à votre disposition.
Un parc automobile de plus de 300 véhicules et disposant des dernières innovations. Une surface logistique de 100 000 m², 25 plates-formes sur l’ensemble du territoire national.
Consultez notre site Internet https://www.vir.fr/",https://fr.indeed.com/rc/clk?jk=6dbdf942ac3e578f&fccid=f843045e8db6a245&vjs=3
Data & Insights Scientist - YPOSKESI (IDF 91 Corbeil-Essonnes) CDI,YPOSKESI,Paris (75),CDI,-,"Créé par l’AFM-Téléthon et le fonds SPI géré par BPI France, YposKesi se positionne comme le premier acteur industriel pharmaceutique français dédié au développement et à la production de médicaments de thérapies génique et cellulaire pour les maladies rares. Dans le cadre de son développement, YposKesi recrute :
Date Recruteur Fonction Localisation Référence de l'offre

06-10-2021 YPOSKESI Data-management - Biostatistique - Epidémiologie France-IDF-Paris MPE-51274


Description de l’annonce emploi

YposKesi recrute un Data & Insights Scientist (h/f) en CDI.

About YposKesi
Yposkesi is a best-in-class Contract Development and Manufacturing Organization (CDMO) for companies developing cell and gene therapies, located in Corbeil-Essonnes (south of Paris, FR). Our clients are based worldwide. We have our own viral vector development and manufacturing platforms and we continue to evolve these through a continued focus on innovation..
Yposkesi was founded in 2016 with funding from AFM-Telethon (France) and the French state investment bank BPI. We have recently become part of the SK Pharmteco organisation, and continue to grow with a planned doubling of manufacturing capacity in 2023 (construction started in May 2021).
Would you like to join a dynamic and motivated team in this growing therapeutic sector?
If so, we are looking for a Data & Insights Scientist to join our Innovation and Development team.
About the role
Our goal is to make data-driven insights an integral part of how we work, to enable a deeper understand of our manufacturing processes and analytical methods. Based in the Innovation and Development group, the Data Scientist will define and drive the implementation of data aggregation, analysis / insights and predictive modelling approaches for Adeno-associated viral (AAV) and lentiviral vector (LVV) development and manufacturing processes using data from raw material, analytical, and process sources.
The role is for an initial period of two to three years, and follows the awarding of funding to Yposkesi by Grand Défi / BPI for our “Boost” project.
Key responsibilities
Define needs (tools, approaches, etc) for manufacturing process and analytical data aggregation from innovation, development or manufacturing projects;Develop new tools / approaches, or implement external platforms within Yposkesi, to ensure centralised data aggregation with the possibility of easy analysis and interpretation;Develop approaches for real-time data analysis and development of predictive models for manufacturing processes;Apply insights from analysis into directed design of experiments and hypothesis testing;Help build a data driven culture at Yposkesi, using case studies, insights, etc, from data aggregation and analysis (e.g., via training, presentations, support to other Scientists).
Profile
PhD in Biotechnology / Chemical Engineering with a focus on bioprocess trending and modelling;Deep understanding of MVDA approaches for analysis of manufacturing / development process data;Solid understanding of statistical concepts (characteristics of data sets, probability testing, etc)Solid understanding of design of experiments, e.g., multifactorial designs, block effects, for both analytical test method and manufacturing process characterisation and development;Collaboration oriented: ability to understand and appreciate different technical points of view, and align on a path forward. Problem-solving and optimistic approach;Self-directed and self-motivated. Demonstrated ability to work both independently and also as a team member in a matrix environment;Project management: ability to define a project in steps from initiation to closure, including success criteria, then develop a plan accordingly, track progress versus plan, and clearly communicate this to stakeholders;Strong oral and written English skills Business fluent English (B2-C1 level); basic level in French (A2-B1) – willingness to improve level in French;Experience: ideally 2+ years of experience in an applied setting, with experience of working in multi-disciplinary teams. Understanding of GMPs for production of biologics, vaccines, or Advanced Therapeutic Medicinal Products (ATMPs) an advantage.",https://fr.indeed.com/rc/clk?jk=08feb9489735d57f&fccid=e268be7c6cdae78c&vjs=3
